M1500, phi, phi_up, phi_low, uplim 
-23.0, 0.0035, 0.0000, 0.0020, 1
-22.5, 0.0035, 0.0000, 0.0020, 1
-22.0, 0.0035, 0.0000, 0.0020, 1
-21.5, 0.0079, 0.0068, 0.0046, 0
-21.0, 0.0150, 0.0094, 0.0070, 0
-20.5, 0.0615, 0.0197, 0.0165, 0
-20.0, 0.1097, 0.0356, 0.0309, 0
-19.5, 0.2174, 0.1805, 0.1250, 0
-19.0, 0.6073, 0.3501, 0.2616, 0
-18.5, 1.5110, 1.0726, 0.7718, 0
