M1500, phi, phi_up, phi_low, uplim 
-23.0, 0.0023, 0.0000, 0.0020, 1
-22.5, 0.0082, 0.0050, 0.0035, 0
-22.0, 0.0082, 0.0051, 0.0036, 0
-21.5, 0.0758, 0.0137, 0.0125, 0
-21.0, 0.2564, 0.0255, 0.0240, 0
-20.5, 0.5181, 0.0365, 0.0338, 0
-20.0, 0.9315, 0.0477, 0.0482, 0
-19.5, 1.2086, 0.0488, 0.0666, 0
-19.0, 2.0874, 0.1212, 0.1147, 0
-18.5, 3.6886, 0.3864, 0.3725, 0
-18.0, 4.7361, 0.4823, 0.4413, 0
-17.5, 7.0842, 1.2829, 1.1364, 0
