M1500, phi, phi_up, phi_low, uplim 
-23.0, 0.0025, 0.0000, 0.0020, 1
-22.5, 0.0025, 0.0000, 0.0020, 1
-22.0, 0.0091, 0.0057, 0.0039, 0
-21.5, 0.0338, 0.0105, 0.0085, 0
-21.0, 0.0703, 0.0148, 0.0128, 0
-20.5, 0.1910, 0.0249, 0.0229, 0
-20.0, 0.3970, 0.0394, 0.0357, 0
-19.5, 0.5858, 0.0527, 0.0437, 0
-19.0, 0.8375, 0.0916, 0.0824, 0
-18.5, 2.4450, 0.3887, 0.3515, 0
-18.0, 3.6662, 1.0076, 0.8401, 0
-17.5, 5.9126, 1.4481, 1.2338, 0
